64, 1024
1003111, 56999482, 5000
2001693, 57998451, 5000
3000759, 58998014, 5000
3999972, 59997769, 5000
4999171, 60997467, 5000
5997971, 61996664, 5000
6993945, 62992932, 5000
9090, 10610, 5000
1003040, 1004999, 5000
2001242, 2003798, 5000
3000042, 3003346, 5000
3998863, 4002980, 5000
4997462, 5002325, 5000
5995337, 6000781, 5000
6988919, 6994750, 5000
11007, 8008398, 5000
1004609, 9002633, 5000
2002390, 10001404, 5000
3000744, 11001078, 5000
3999169, 12000976, 5000
4997491, 13000655, 5000
5995209, 13999435, 5000
6988721, 14993673, 5000
11260, 16007638, 5000
1004782, 17001913, 5000
2002496, 18000736, 5000
3000797, 19000466, 5000
3999184, 20000421, 5000
4997478, 21000153, 5000
5995178, 21998981, 5000
6988679, 22993262, 5000
11316, 24007271, 5000
1004819, 25001561, 5000
2002519, 26000400, 5000
3000809, 27000145, 5000
3999187, 28000114, 5000
4997475, 28999859, 5000
5995172, 29998699, 5000
6988670, 30992991, 5000
11330, 32007009, 5000
1004828, 33001301, 5000
2002525, 34000141, 5000
3000813, 34999886, 5000
3999191, 35999855, 5000
4997481, 36999600, 5000
5995181, 37998439, 5000
6988684, 38992729, 5000
11321, 40006738, 5000
1004822, 41001019, 5000
2002522, 41999847, 5000
3000816, 42999579, 5000
3999203, 43999534, 5000
4997504, 44999264, 5000
5995218, 45998087, 5000
6988740, 46992362, 5000
11279, 48006327, 5000
1004791, 49000565, 5000
2002509, 49999345, 5000
3000831, 50999024, 5000
3999256, 51998922, 5000
4997610, 52998596, 5000
5995391, 53997367, 5000
6988993, 54991602, 5000
11081, 56005250, 5000
1004663, 56999219, 5000
2002538, 57997675, 5000
3001137, 58997020, 5000
3999958, 59996654, 5000
4998758, 60996202, 5000
5996960, 61995001, 5000
6990910, 62989390, 5000
12272, 14322, 5000
1004092, 1006735, 5000
2001672, 2005120, 5000
3000057, 3004512, 5000
3998467, 4004020, 5000
4996580, 5003138, 5000
5993719, 6001060, 5000
6985044, 6992906, 5000
14857, 8011339, 5000
1006208, 9003543, 5000
2003221, 10001891, 5000
3001002, 11001453, 5000
3998880, 12001317, 5000
4996618, 13000886, 5000
5993547, 13999245, 5000
6984777, 14991454, 5000
15198, 16010313, 5000
1006441, 17002572, 5000
2003364, 18000990, 5000
3001074, 19000627, 5000
3998900, 20000568, 5000
4996601, 21000208, 5000
5993505, 21998632, 5000
6984720, 22990899, 5000
15273, 24009819, 5000
1006492, 25002098, 5000
2003395, 26000537, 5000
3001090, 27000195, 5000
3998904, 28000154, 5000
4996598, 28999813, 5000
5993496, 29998253, 5000
6984709, 30990534, 5000
15291, 32009466, 5000
1006504, 33001747, 5000
2003402, 34000187, 5000
3001096, 34999846, 5000
3998910, 35999805, 5000
4996605, 36999463, 5000
5993508, 37997902, 5000
6984727, 38990181, 5000
15280, 40009101, 5000
1006495, 41001368, 5000
2003399, 41999792, 5000
3001100, 42999432, 5000
3998926, 43999373, 5000
4996636, 44999010, 5000
5993559, 45997428, 5000
6984802, 46989687, 5000
15223, 48008546, 5000
1006453, 49000755, 5000
2003382, 49999114, 5000
3001120, 50998683, 5000
3998998, 51998547, 5000
4996779, 52998109, 5000
5993792, 53996457, 5000
6985143, 54988661, 5000
14956, 56007094, 5000
1006281, 56998940, 5000
2003420, 57996862, 5000
3001533, 58995980, 5000
3999943, 59995488, 5000
4998328, 60994880, 5000
5995908, 61993265, 5000
6987728, 62985678, 5000
15531, 18124, 5000
1005162, 1008504, 5000
2002111, 2006469, 5000
3000072, 3005704, 5000
3998064, 4005083, 5000
4995681, 5003971, 5000
5992071, 6001351, 5000
6981074, 6991013, 5000
18800, 8014353, 5000
1007837, 9004468, 5000
2004068, 10002387, 5000
3001266, 11001835, 5000
3998585, 12001666, 5000
4995729, 13001123, 5000
5991853, 13999055, 5000
6980737, 14989177, 5000
19230, 16013057, 5000
1008131, 17003241, 5000
2004248, 18001248, 5000
3001357, 19000792, 5000
3998610, 20000719, 5000
4995707, 21000267, 5000
5991800, 21998281, 5000
6980665, 22988476, 5000
19325, 24012432, 5000
1008196, 25002642, 5000
2004288, 26000675, 5000
3001377, 27000245, 5000
3998616, 28000196, 5000
4995703, 28999767, 5000
5991789, 29997802, 5000
6980652, 30988015, 5000
19348, 32011985, 5000
1008211, 33002198, 5000
2004297, 34000233, 5000
3001384, 34999804, 5000
3998623, 35999755, 5000
4995712, 36999325, 5000
5991804, 37997358, 5000
6980675, 38987568, 5000
19335, 40011524, 5000
1008200, 41001719, 5000
2004293, 41999733, 5000
3001390, 42999281, 5000
3998643, 43999208, 5000
4995752, 44998752, 5000
5991869, 45996759, 5000
6980770, 46986943, 5000
19263, 48010823, 5000
1008147, 49000945, 5000
2004271, 49998877, 5000
3001415, 50998334, 5000
3998734, 51998165, 5000
4995932, 52997613, 5000
5992163, 53995532, 5000
6981200, 54985647, 5000
18926, 56008987, 5000
1007929, 56998649, 5000
2004319, 57996029, 5000
3001936, 58994917, 5000
3999928, 59994296, 5000
4997889, 60993531, 5000
5994838, 61991496, 5000
6984469, 62981876, 5000
18834, 21978, 5000
1006238, 1010287, 5000
2002552, 2007831, 5000
3000087, 3006908, 5000
