32, 1024
0, 0, 5000
1000000, 1000000, 5000
2000000, 2000000, 5000
3000000, 3000000, 5000
4000000, 4000000, 5000
5000000, 5000000, 5000
0, 6000000, 5000
1000000, 7000000, 5000
2000000, 8000000, 5000
3000000, 9000000, 5000
4000000, 10000000, 5000
5000000, 11000000, 5000
0, 12000000, 5000
1000000, 13000000, 5000
2000000, 14000000, 5000
3000000, 15000000, 5000
4000000, 16000000, 5000
5000000, 17000000, 5000
0, 18000000, 5000
1000000, 19000000, 5000
2000000, 20000000, 5000
3000000, 21000000, 5000
4000000, 22000000, 5000
5000000, 23000000, 5000
0, 24000000, 5000
1000000, 25000000, 5000
2000000, 26000000, 5000
3000000, 27000000, 5000
4000000, 28000000, 5000
5000000, 29000000, 5000
0, 30000000, 5000
1000000, 31000000, 5000
1075, 1310, 5000
1000316, 1000656, 5000
2000037, 2000526, 5000
2999783, 3000445, 5000
3999450, 4000260, 5000
4998614, 4999519, 5000
1375, 6000938, 5000
1000537, 7000258, 5000
2000162, 8000143, 5000
2999823, 9000118, 5000
3999440, 10000005, 5000
4998585, 10999325, 5000
1412, 12000801, 5000
1000557, 13000128, 5000
2000171, 14000023, 5000
2999825, 15000008, 5000
3999438, 15999902, 5000
4998582, 16999230, 5000
1414, 18000710, 5000
1000557, 19000035, 5000
2000170, 19999925, 5000
2999827, 20999905, 5000
3999445, 21999793, 5000
4998598, 22999113, 5000
1390, 24000581, 5000
1000534, 24999876, 5000
2000157, 25999724, 5000
2999840, 26999646, 5000
3999516, 27999472, 5000
4998761, 28998754, 5000
1060, 30000144, 5000
999548, 30998728, 5000
3225, 3931, 5000
1000948, 1001966, 5000
2000111, 2001577, 5000
2999350, 3001336, 5000
3998350, 4000780, 5000
4995841, 4998557, 5000
4127, 6002815, 5000
1001609, 7000773, 5000
2000485, 8000429, 5000
2999470, 9000355, 5000
3998320, 10000014, 5000
4995753, 10997974, 5000
4236, 12002403, 5000
1001671, 13000384, 5000
2000512, 14000068, 5000
2999476, 15000023, 5000
3998315, 15999708, 5000
4995746, 16997688, 5000
4243, 18002131, 5000
1001671, 19000103, 5000
2000511, 19999776, 5000
2999481, 20999714, 5000
3998336, 21999379, 5000
4995793, 22997337, 5000
4172, 24001745, 5000
1001603, 24999628, 5000
2000470, 25999173, 5000
2999520, 26998939, 5000
3998550, 27998416, 5000
4996283, 28996260, 5000
3181, 30000435, 5000
998641, 30996183, 5000
5916, 7212, 5000
1001736, 1003603, 5000
2000204, 2002892, 5000
2998809, 3002450, 5000
3996977, 4001433, 5000
4992372, 4997350, 5000
7571, 6005166, 5000
1002948, 7001415, 5000
2000889, 8000786, 5000
2999029, 9000651, 5000
3996923, 10000028, 5000
4992209, 10996282, 5000
7770, 12004410, 5000
1003061, 13000701, 5000
2000939, 14000125, 5000
2999039, 15000043, 5000
3996913, 15999466, 5000
4992197, 16995757, 5000
7783, 18003911, 5000
1003061, 19000187, 5000
2000937, 19999588, 5000
2999049, 20999476, 5000
3996951, 21998863, 5000
4992283, 22995114, 5000
7653, 24003204, 5000
1002936, 24999316, 5000
2000861, 25998482, 5000
2999120, 26998056, 5000
3997343, 27997098, 5000
4993180, 28993139, 5000
5839, 30000804, 5000
997502, 30992994, 5000
8882, 10827, 5000
1002600, 1005401, 5000
2000305, 2004338, 5000
2998214, 3003677, 5000
3995470, 4002154, 5000
4988548, 4996017, 5000
11365, 6007757, 5000
1004418, 7002118, 5000
2001333, 8001177, 5000
2998545, 9000978, 5000
3995388, 10000047, 5000
4988306, 10994414, 5000
11664, 12006624, 5000
1004587, 13001048, 5000
2001407, 14000186, 5000
2998560, 15000065, 5000
3995374, 15999203, 5000
4988287, 16993626, 5000
11683, 18005876, 5000
1004587, 19000276, 5000
2001404, 19999381, 5000
2998574, 20999215, 5000
3995431, 21998298, 5000
4988415, 22992662, 5000
11489, 24004815, 5000
1004400, 24998969, 5000
2001291, 25997722, 5000
2998680, 26997084, 5000
3996017, 27995650, 5000
4989761, 28989700, 5000
8772, 30001218, 5000
996241, 30989476, 5000
11990, 14615, 5000
1003500, 1007278, 5000
