128, 1024
0, 0, 5000
1000000, 1000000, 5000
2000000, 2000000, 5000
3000000, 3000000, 5000
4000000, 4000000, 5000
5000000, 5000000, 5000
6000000, 6000000, 5000
7000000, 7000000, 5000
8000000, 8000000, 5000
9000000, 9000000, 5000
10000000, 10000000, 5000
11000000, 11000000, 5000
0, 12000000, 5000
1000000, 13000000, 5000
2000000, 14000000, 5000
3000000, 15000000, 5000
4000000, 16000000, 5000
5000000, 17000000, 5000
6000000, 18000000, 5000
7000000, 19000000, 5000
8000000, 20000000, 5000
9000000, 21000000, 5000
10000000, 22000000, 5000
11000000, 23000000, 5000
0, 24000000, 5000
1000000, 25000000, 5000
2000000, 26000000, 5000
3000000, 27000000, 5000
4000000, 28000000, 5000
5000000, 29000000, 5000
6000000, 30000000, 5000
7000000, 31000000, 5000
8000000, 32000000, 5000
9000000, 33000000, 5000
10000000, 34000000, 5000
11000000, 35000000, 5000
0, 36000000, 5000
1000000, 37000000, 5000
2000000, 38000000, 5000
3000000, 39000000, 5000
4000000, 40000000, 5000
5000000, 41000000, 5000
6000000, 42000000, 5000
7000000, 43000000, 5000
8000000, 44000000, 5000
9000000, 45000000, 5000
10000000, 46000000, 5000
11000000, 47000000, 5000
0, 48000000, 5000
1000000, 49000000, 5000
2000000, 50000000, 5000
3000000, 51000000, 5000
4000000, 52000000, 5000
5000000, 53000000, 5000
6000000, 54000000, 5000
7000000, 55000000, 5000
8000000, 56000000, 5000
9000000, 57000000, 5000
10000000, 58000000, 5000
11000000, 59000000, 5000
0, 60000000, 5000
1000000, 61000000, 5000
2000000, 62000000, 5000
3000000, 63000000, 5000
4000000, 64000000, 5000
5000000, 65000000, 5000
6000000, 66000000, 5000
7000000, 67000000, 5000
8000000, 68000000, 5000
9000000, 69000000, 5000
10000000, 70000000, 5000
11000000, 71000000, 5000
0, 72000000, 5000
1000000, 73000000, 5000
2000000, 74000000, 5000
3000000, 75000000, 5000
4000000, 76000000, 5000
5000000, 77000000, 5000
6000000, 78000000, 5000
7000000, 79000000, 5000
8000000, 80000000, 5000
9000000, 81000000, 5000
10000000, 82000000, 5000
11000000, 83000000, 5000
0, 84000000, 5000
1000000, 85000000, 5000
2000000, 86000000, 5000
3000000, 87000000, 5000
4000000, 88000000, 5000
5000000, 89000000, 5000
6000000, 90000000, 5000
7000000, 91000000, 5000
8000000, 92000000, 5000
9000000, 93000000, 5000
10000000, 94000000, 5000
11000000, 95000000, 5000
0, 96000000, 5000
1000000, 97000000, 5000
2000000, 98000000, 5000
3000000, 99000000, 5000
4000000, 100000000, 5000
5000000, 101000000, 5000
6000000, 102000000, 5000
7000000, 103000000, 5000
8000000, 104000000, 5000
9000000, 105000000, 5000
10000000, 106000000, 5000
11000000, 107000000, 5000
0, 108000000, 5000
1000000, 109000000, 5000
2000000, 110000000, 5000
3000000, 111000000, 5000
4000000, 112000000, 5000
5000000, 113000000, 5000
6000000, 114000000, 5000
7000000, 115000000, 5000
8000000, 116000000, 5000
9000000, 117000000, 5000
10000000, 118000000, 5000
11000000, 119000000, 5000
0, 120000000, 5000
1000000, 121000000, 5000
2000000, 122000000, 5000
3000000, 123000000, 5000
4000000, 124000000, 5000
5000000, 125000000, 5000
6000000, 126000000, 5000
7000000, 127000000, 5000
1122, 1245, 5000
1000407, 1000552, 5000
2000218, 2000389, 5000
3000120, 3000324, 5000
4000051, 4000292, 5000
4999988, 5000272, 5000
5999924, 6000252, 5000
6999854, 7000224, 5000
7999771, 8000178, 5000
8999656, 9000095, 5000
9999447, 9999910, 5000
10998713, 10999194, 5000
1280, 12001070, 5000
1000549, 13000367, 5000
2000339, 14000198, 5000
3000219, 15000132, 5000
4000125, 16000104, 5000
5000039, 17000093, 5000
5999954, 18000088, 5000
6999867, 19000077, 5000
7999770, 20000050, 5000
8999647, 20999984, 5000
9999433, 21999815, 5000
10998696, 22999112, 5000
1302, 24001010, 5000
1000566, 25000310, 5000
2000352, 26000143, 5000
3000229, 27000079, 5000
4000132, 28000054, 5000
5000043, 29000047, 5000
5999956, 30000044, 5000
6999866, 31000037, 5000
7999769, 32000012, 5000
