16,1024
2957734.53, 10977165.59, 5000.00
42565.53, 12005236.97, 5000.00
1012093.96, 12982570.95, 5000.00
1995867.71, 13977472.64, 5000.00
2970125.60, 14959778.40, 5000.00
33020.66, 44458.05, 5000.00
1004544.87, 1024853.69, 5000.00
1986684.85, 2019276.91, 5000.00
2952955.43, 2994164.55, 5000.00
46707.07, 4025259.09, 5000.00
1011622.04, 5004923.88, 5000.00
1987816.90, 6003250.63, 5000.00
2951996.68, 6982950.12, 5000.00
48003.32, 8017049.88, 5000.00
1012183.10, 8996749.37, 5000.00
1988377.96, 9995076.12, 5000.00
2953292.93, 10974740.91, 5000.00
47044.57, 12005835.45, 5000.00
1013315.15, 12980723.09, 5000.00
1995455.13, 13975146.31, 5000.00
2966979.34, 14955541.95, 5000.00
36179.37, 48711.33, 5000.00
1004954.11, 1027179.27, 5000.00
1985470.08, 2021135.04, 5000.00
2948459.41, 2993553.80, 5000.00
51164.23, 4027697.62, 5000.00
1012685.04, 5005352.93, 5000.00
1986702.92, 6003587.64, 5000.00
2947420.46, 6981279.30, 5000.00
52579.54, 8018720.70, 5000.00
1013297.08, 8996412.36, 5000.00
1987314.96, 9994647.07, 5000.00
2948835.77, 10972302.38, 5000.00
51540.59, 12006446.20, 5000.00
1014529.92, 12978864.96, 5000.00
1995045.89, 13972820.73, 5000.00
2963820.63, 14951288.67, 5000.00
39350.46, 52981.32, 5000.00
1005359.80, 1029503.78, 5000.00
1984262.06, 2023003.55, 5000.00
2943946.53, 2992930.56, 5000.00
55636.77, 4030150.02, 5000.00
1013742.62, 5005775.29, 5000.00
1985594.65, 6003931.37, 5000.00
2942829.30, 6979594.29, 5000.00
57170.70, 8020405.71, 5000.00
1014405.35, 8996068.63, 5000.00
1986257.38, 9994224.71, 5000.00
2944363.23, 10969849.98, 5000.00
56053.47, 12007069.44, 5000.00
1015737.94, 12976996.45, 5000.00
1994640.20, 13970496.22, 5000.00
2960649.54, 14947018.68, 5000.00
42533.96, 57268.07, 5000.00
1005761.79, 1031826.95, 5000.00
1983061.08, 2024882.64, 5000.00
2939416.74, 2992294.63, 5000.00
